평균 심박수,93
결과,동리듬
증상,
소프트웨어 버전,Wear OS 11
기기,Galaxy Watch5 (4B5F)
Sampling rate,500.000 Hz
Lead,Lead I
Unit,mV
1.187351,
1.181394,
1.169099,
1.150195,
1.124939,
1.094355,
1.060382,
1.025986,
0.994809,
0.970227,
0.922904,
0.947571,
0.947945,
0.951778,
0.954628,
0.952831,
0.944538,
0.929951,
0.911049,
0.890934,
0.872698,
0.858283,
0.848054,
0.841031,
0.835333,
0.828731,
0.819659,
0.808143,
0.795595,
0.783691,
0.773674,
0.766328,
0.762047,
0.760799,
0.762345,
0.766629,
0.773874,
0.784374,
0.798465,
0.816427,
0.837849,
0.860868,
0.882252,
0.898537,
0.907352,
0.908098,
0.902025,
0.8918,
0.880602,
0.871289,
0.865948,
0.865722,
0.870771,
0.880393,
0.893456,
0.908913,
0.92604,
0.944197,
0.962429,
0.979388,
0.993638,
1.004127,
1.010594,
1.013563,
1.013918,
1.012608,
1.010666,
1.009269,
1.009492,
1.012159,
1.017939,
1.027386,
1.040714,
1.057658,
1.077576,
1.099736,
1.123443,
1.148079,
1.17331,
1.199148,
1.225642,
1.252527,
1.279127,
1.304494,
1.327776,
1.348566,
1.367031,
1.383726,
1.399321,
1.414411,
1.429286,
1.443694,
1.456937,
1.468254,
1.477066,
1.483012,
1.486073,
1.486749,
1.486001,
1.484989,
1.484868,
1.486657,
1.491025,
1.49785,
1.506032,
1.513724,
1.518842,
1.519631,
1.515206,
1.505951,
1.493459,
1.479957,
1.46757,
1.457596,
1.450013,
1.443555,
1.436282,
1.426272,
1.412128,
1.393463,
1.37129,
1.347894,
1.326038,
1.308116,
1.29571,
1.279576,
1.267993,
1.261295,
1.258252,
1.257766,
1.258804,
1.260398,
1.261998,
1.26374,
1.265982,
1.26857,
1.270708,
1.27144,
1.27015,
1.266665,
1.26098,
1.252974,
1.24234,
1.228466,
1.210253,
1.185988,
1.15346,
1.110338,
1.085249,
0.986439,
0.906613,
0.818441,
0.725863,
0.632608,
0.541438,
0.453816,
0.369869,
0.28868,
0.208997,
0.130029,
0.051868,
-0.024655,
-0.098451,
-0.168806,
-0.235863,
-0.300695,
-0.364862,
-0.429711,
-0.495914,
-0.563337,
-0.63113,
-0.697964,
-0.762492,
-0.823806,
-0.881524,
-0.935568,
-0.986001,
-1.032982,
-1.076669,
-1.117101,
-1.154324,
-1.188417,
-1.219303,
-1.246632,
-1.270012,
-1.289256,
-1.304406,
-1.315628,
-1.323349,
-1.328467,
-1.332344,
-1.336481,
-1.34215,
-1.350116,
-1.360469,
-1.372549,
-1.385141,
-1.396842,
-1.406311,
-1.41236,
-1.413896,
-1.409856,
-1.399227,
-1.381046,
-1.354193,
-1.317331,
-1.269407,
-1.210624,
-1.143251,
-1.07179,
-1.002505,
-0.905679,
-0.809769,
-0.768753,
-0.775434,
-0.85012,
-0.910071,
-0.998592,
-1.064354,
-1.131136,
-1.192865,
-1.275672,
-1.317608,
-1.314136,
-1.33157,
-1.340169,
-1.342548,
-1.341444,
-1.339186,
-1.333522,
-1.325051,
-1.316406,
-1.307163,
-1.29728,
-1.287139,
-1.277383,
-1.26865,
-1.261451,
-1.256195,
-1.253078,
-1.251788,
-1.251341,
-1.250304,
-1.247152,
-1.240657,
-1.230134,
-1.215531,
-1.197371,
-1.176656,
-1.154685,
-1.136312,
-1.122627,
-1.110684,
-1.100714,
-1.092671,
-1.08627,
-1.081029,
-1.076454,
-1.072087,
-1.067441,
-1.062101,
-1.055887,
-1.04874,
-1.040544,
-1.031174,
-1.020733,
-1.009672,
-0.998734,
-0.988813,
-0.980845,
-0.975643,
-0.973618,
-0.974448,
-0.976913,
-0.979106,
-0.978939,
-0.974748,
-0.965732,
-0.952047,
-0.934627,
-0.914881,
-0.894182,
-0.873461,
-0.853445,
-0.835286,
-0.820863,
-0.812307,
-0.811113,
-0.817473,
-0.829783,
-0.844365,
-0.856069,
-0.932958,
-0.932558,
-0.867679,
-0.798468,
-0.759033,
-0.689881,
-0.654729,
-0.635357,
-0.659851,
-0.661841,
-0.670769,
-0.681792,
-0.690144,
-0.692403,
-0.687027,
-0.674124,
-0.655077,
-0.632219,
-0.60833,
-0.585889,
-0.566451,
-0.550438,
-0.537357,
-0.526409,
-0.517109,
-0.509523,
-0.504042,
-0.500859,
-0.499519,
-0.498919,
-0.497639,
-0.494424,
-0.488528,
-0.47994,
-0.469612,
-0.459454,
-0.451868,
-0.448949,
-0.451654,
-0.459433,
-0.470442,
-0.482239,
-0.492775,
-0.501135,
-0.507576,
-0.513138,
-0.51917,
-0.526837,
-0.536688,
-0.548389,
-0.560827,
-0.572658,
-0.58292,
-0.591389,
-0.598597,
-0.605572,
-0.61346,
-0.622837,
-0.633147,
-0.642785,
-0.64967,
-0.651944,
-0.648599,
-0.639956,
-0.627709,
-0.614369,
-0.602363,
-0.593486,
-0.588803,
-0.588446,
-0.591327,
-0.595244,
-0.597702,
-0.596855,
-0.59197,
-0.583409,
-0.572522,
-0.561331,
-0.551876,
-0.545552,
-0.54291,
-0.543759,
-0.547212,
-0.551792,
-0.555017,
-0.553504,
-0.550744,
-0.547372,
-0.544018,
-0.541005,
-0.538153,
-0.534771,
-0.529961,
-0.523269,
-0.515055,
-0.506223,
-0.497664,
-0.489897,
-0.482973,
-0.476417,
-0.469167,
-0.459916,
-0.447794,
-0.432837,
-0.415963,
-0.398642,
-0.382592,
-0.369448,
-0.360321,
-0.355525,
-0.354673,
-0.356831,
-0.360403,
-0.363114,
-0.36248,
-0.356498,
-0.344205,
-0.326008,
-0.303792,
-0.280627,
-0.259956,
-0.244674,
-0.236541,
-0.235996,
-0.242064,
-0.252505,
-0.264626,
-0.276322,
-0.286561,
-0.295124,
-0.302201,
-0.30803,
-0.312485,
-0.314708,
-0.313248,
-0.306803,
-0.29499,
